,text,score,softmax_score
0,"Over the last decade we have focused on putting the student first and we believe we set the standard in how to support the modern learner. If we want to build and maintain a long term relationship with students, we must listen to the issues that are important to them. Our students, along with our employees, investors, management team, and board care that we operate sustainably minimizing the environmental impact of our business, that we invest in and support our employees, that we contribute to our communities and that we operate our business with integrity. We accept this responsibility. We have increased our efforts to build out programs that support our environment, employees, communities, and contribute positively to the learning ecosystem.",0.3682222366333008,0.5348780751228333
1,"The pace of evolution within the learning ecosystem has accelerated in recent years as students and educators increasingly embrace digital platforms to enhance learning, teaching, and accessibility. Weve seen new learning pathways emerge and global educators now serve a much more diverse learner audience than previous generations. 55 of Cheggs learners are now minorities, 35 are working part time, another 11 are working full time, and 20 have a family income of less than 20,000 . Chegg meets these modern learners where they are by offering a flexible on demand learning platform, where we are proud to serve 30 million learners each month. We strive to improve the overall return on education investment by helping people learn more in less time and at a lower cost.",0.39152151346206665,0.5794817805290222
3,Chegg seeks to always serve as a valued and responsible member of the learning ecosystem. Weve taken measures to help uphold and protect academic integrity in support of authentic learning and we are building an entirely new educator economy that will connect educators to learners around the world to increase access to trusted high quality and relevant learning content.,0.31592369079589844,0.5360609292984009
4,"We know that the heart of Chegg is our incredible employees. They are one of our biggest competitive advantages, and it's our responsibility to take care of them and provide a diverse and inclusive culture where everyone feels empowered to do their best work. In 2021, we expanded employee training and continuing learning opportunities, enhanced our recruiting process to increase the diversity of our workforce, and we improved our transparency by disclosing workforce metrics such as gender and ethnic diversity among employees and our leadership, employee engagement feedback, and employee retention, among other items.",0.41876232624053955,0.5832462310791016
5,"In 2021, Chegg collectively donated 1,400,000 to organizations whose initiatives benefit learners globally and our communities. We align the major themes of our philanthropic and community efforts with the U.N.s Sustainable Development Goals, including a heightened focus on quality education, good health and well being, and moving to a world with zero hunger. Our recent social impact efforts have included announcing the winner of our first Chegg.org 100,000 Global Student Prize, and our immediate responses to crises including a 100,000 donation to the International Rescue Committees Education in Emergencies program for the conflict of Afghanistan, and another 100,000 donation to Save the Children for the recent Ukrainian crisis. We moved quickly in response to the heartbreaking situation in Ukraine and began offering Ukrainian refugees a free premium subscription to Busuu, the language learning service we acquired in early 2022.",0.14155550301074982,0.5347375273704529
6,"The challenges of the last few years have had a dramatic impact on all of us, particularly students, and Chegg will always be with them on their entire journey; academically, professionally, and beyond. As you will see in the following pages, our 2021 ESG Report highlights our progress on ESG initiatives. We are proud of our work as were continuously improving, looking for more ways to help our students, their communities, our employees, and the environment. In 2021, we conducted our first formal materiality assessment, through which we gathered feedback from students, employees, investors, professors, and other key stakeholders, and the conclusions are helping us prioritize our sustainability roadmap going forward.",0.19809749722480774,0.5072314143180847
7,We are a mission driven company with an enormous opportunity ahead of us. Our employees are energized each day by the important and fulfilling work we do for global learners and the positive impact we can have on their lives and their learning and professional outcomes. We look forward to engaging further and continuing to support the issues that matter most to our stakeholders. We are so incredibly grateful for all of you that have been a part of our journey.,0.3259525001049042,0.5468440651893616
8,"When it comes to our most valuable resource, our people, Cheggs North Star continues to be meeting our employees where they are. We regularly solicit feedback, which helps guide our best in class benefits, learning programs, and development opportunities, which are important to our employees no matter what stage of life they are in, such as our unique Student Loan repayment offerings including our Equity for Education program. We are always looking for ways to make our work environment more diverse and inclusive, and a place where employees with all backgrounds and experiences feel supported personally and professionally. We do this by supporting our ERGs with access, content, and funding, by providing our hiring managers with tools to help reduce unconscious bias in the hiring process, or by offering training resources that aim to instill an inclusive and diverse workplace culture. All of this helps us attract and retain top talent.",0.3674170970916748,0.5720085501670837
9,"At Chegg, we take our position within the education eco system extremely seriously. We honor students by continuously enhancing content quality, depth, personalization, and diverse formats. We believe this relentless student first mission will yield increasingly positive learner outcomes for students around the world no matter how or when they learn best. By investing in our proprietary concept taxonomy, we believe we will create discrete and definable learning pathways to improve the ROI on their education. Our scalable model allows us to provide great value while increasing access to education for global learners. We honor faculty by building a global platform where they can share and be compensated for their valuable teaching material and instructional expertise, and we continue to engage with and support educators in our common goal of upholding academic integrity.",0.323486864566803,0.5438745617866516
10,The viability and health of societies will soon depend on equipping large numbers of workers with the skills to fill roles in a new digital economy.,0.22980333864688873,0.5103490352630615
11,"Without a major boost to digital skills, as a society we are not going to be able to fill their digital needs, create new opportunities in developing economies, or reduce unemployment and underemployment rates. There are huge advantages for companies that digitally upskill their staff. The more digitally literate weas a societyare, the more we can create efficiencies that contribute to environmental sustainability. We believe employers have an increasing duty to support employee upskilling and we are proud to be a partner on that journey.",0.22990861535072327,0.51487797498703
12,"Chegg is a mission driven company . We strive to improve the overall return on investment in education by helping people learn more in less time and at a lower cost. We put our students first. Our mission is to help every learner achieve their best, in school and beyond.",0.05584630370140076,0.5092897415161133
13,"We aim to support and accelerate the path students take from learning to earning. This includes online tools for academia in a digital world and extends beyond the classroom into their professional careers. We help students each step of the way to improve the outcome of their education. To do this, we focus on listening to their needs, elevating and amplifying their voice, and taking action to provide real life solutions.",0.27725785970687866,0.5455401539802551
14,"This sentiment is weaved into everything we do and supports our commitment to Environmental, Social and Governance (ESG) and Sustainability matters.",0.2801257073879242,0.5285817384719849
15,"We are committed to making a difference on the issues that matter to learners, our employees and other key stakeholders",0.3512716293334961,0.5614257454872131
18,"Culture, Belonging and Diversity Human Capital Management Employee Engagement Employee Health, Safety, and Wellbeing",0.6201668381690979,0.5798121690750122
21,"We engaged over 300 students, professors, employees, executives, employee resource group leaders, investors, and board members to help us evaluate 20 key ESG issues. We value the opinions of our stakeholders, both internal and external, and will continue to engage them on ESG and other topics.",0.28977009654045105,0.5214269757270813
22,The feedback we received reinforced our belief that Cheggs mission and values are critical to our business success and are deeply integrated into our culture and processes.,0.22477272152900696,0.5125890374183655
24,The matrix below is a visual representation of the feedback we gathered from the stakeholder groups.,0.26177048683166504,0.5411443114280701
27,Female representation among Global Employees,0.34725964069366455,0.5443336367607117
28,Expanded initiatives to support Academic Integrity including the launch of Cheggs Academic Advisory Board,0.22353585064411163,0.5110418796539307
29,Say Chegg helps them better understand concepts they are studying,0.06020987778902054,0.5146865248680115
30,Scope 1 2 Greenhouse Gas emissions,0.15037581324577332,0.5013697743415833
31,Corporate Giving across Chegg and our Chegg.org Impact Fund,0.09663746505975723,0.51804518699646
33,Minority representation among US Employees,0.34462523460388184,0.572275698184967
34,Say they get better grades when using Chegg to understand coursework,0.01743978075683117,0.5199361443519592
35,"Chegg invested 1,154 per employee on training Enhanced employee training in areas such as Cybersecurity, Insider Trading, and Responsible Marketing Say they work more efficiently when using Chegg to understand coursework Total Energy Consumed, in gigajoules Cheggs business, philanthropic, and community efforts most closely align with 4: Quality Education, 3: Good Health Well Being, 2: Zero Hunger Female representation among Board of Directors",0.16321024298667908,0.5138355493545532
36,Act Responsibly Help Learners Give Back Govern Effectively Focus on People,0.19580641388893127,0.5561584830284119
37,"We focus on people by making Chegg a great place to work. We foster an environment centered on respect, where diversity and inclusion are celebrated, and employees can develop and advance their careers.",0.3420512080192566,0.5770822763442993
38,"Chegg promotes culture, belonging, and diversity (CBD) across all levels, reflecting the multi cultural learner population that we serve. Cheggs CBD multiyear plan is centered around five pillars:",0.3368246555328369,0.5634613633155823
39,"We are extremely proud of the fact that 94 of global employees believe people of all cultures and backgrounds are respected and valued at Chegg. Our programming is about building and amplifying individual and collective strengths to drive deeper understanding around diversity, equity, inclusion, employee engagement, allyship, and actionable steps so that each employee globally can be their best authentic selves in support of our Student First mission.",0.4477982223033905,0.5612682104110718
40,Some examples of CBD Programming:,0.06623706966638565,0.505108654499054
41,"(1) Results reflect a global employee engagement survey conducted by Culture Amp in September 2020. Respondent base (n1,208) among approximately 1,243 invites. Survey responses are not a guarantee of any particular results as individual experiences may vary.",0.36308103799819946,0.5484570860862732
42,"Cheggs Leading with Inclusion Workshop helps define Diversity Inclusion at Chegg, introduces employees to the CBD Lens, and supports employees to impact diversity in the workplace",0.4272193908691406,0.593197762966156
43,"Cheggs Connection Workshop Series includes workshops such as Fostering Belonging, Pronouns are Important, and Accountability",0.18424451351165771,0.5398778915405273
44,"Employee Resource Groups (ERGs) provide an environment that drives understanding and belonging. They foster a diverse, inclusive workplace aligned with Cheggs goals and values.",0.18617838621139526,0.5177425146102905
45,The Chegg Ambassador Program expands employees CBD knowledge by teaching actionable tools to foster belonging for everyone. Employees earn badges to highlight progress and knowledge.,0.22649919986724854,0.5515416860580444
46,Act Responsibly Help Learners Give Back Govern Effectively Focus on People Operate Sustainably,0.1779615581035614,0.5461886525154114
47,"(1) Leadership Manager Above. As of 11 30 20 for 2020 data, as of 12 31 21 for 2021 data. Data excludes part time on demand educators with no fixed schedules or hours. Manager above data excludes Program Managers. May not add to 100 due to rounding and employees choosing not to disclose. Technical Staff includes Analytics BI, Engineering, IT, and UX (excluding UX Research).",0.2320813685655594,0.5114746689796448
48,Please see ESG Disclosures section of this report for more detailed diversity disclosures,0.3879064917564392,0.5566297769546509
49,Workforce planning is done regularly to assess and predict gaps in our employee headcount and the skills that are needed. We proactively manage talent to meet future business needs.,0.16463147103786469,0.5308641195297241
50,"We continue to increase our focus on diversity and inclusion within our recruiting and retention efforts , including:",0.5341370105743408,0.6124765276908875
51,Increasing the number of qualified candidates from underrepresented groups for open roles,0.26276037096977234,0.5561164021492004
52,"Introducing an Inclusion Scorecard, which helps hiring managers organize skills and experiences of potential candidates. The tool helps expand talent pools and seeks to eliminate unconscious basis.",0.3617977201938629,0.5972958207130432
54,"Developing partnerships with organizations and groups that support underrepresented communities and regularly posting job opportunities to these groups, such as the Blacks in Technology Job Board.",0.42005279660224915,0.5584765076637268
55,"Launching our Chegg Ambassador Program, designed to equip and empower every employee to instill an inclusive and diverse workplace culture.",0.19347374141216278,0.5506780743598938
56,Increasing brand engagement on social media by highlighting the diversity of our hiring managers and employee base.,0.3703046441078186,0.563228964805603
58,$1154 Spent per employee on training in 2021,0.16345752775669098,0.540556788444519
59,52% of employees registered to begin their journey to become a Chegg Ambassador,0.0872165858745575,0.5264050960540771
60,"Chegg is a teaching and learning company, a philosophy which extends to all of our employees. Examples of training and education programs include:",0.05429931357502937,0.5132948160171509
61,"Required annual training for global employees on topics such as Insider trading, Security, Ethics, Inclusive Workplace, and Diversity Equality Inclusion",0.4506364166736603,0.535066545009613
62,"Executive level coaching for global employees, providing participants with the necessary tools to be better leaders.",0.09716501832008362,0.5001646876335144
63,People management skills training available to new managers where participants have an opportunity to meet other people leaders and share experiences and best practices.,0.2699953317642212,0.5485771894454956
64,Responsible Marketing Training for relevant employees was updated and expanded in 2021. Employees responsible for Chegg advertising receive annual training and these employees are expected to review and regularly reference our Responsible Marketing policy as needed.,0.1041497141122818,0.5093533992767334
66,One week new hire orientation and a first 90 day program supports our new hires as they integrate.,0.3388729691505432,0.5955532193183899
