,text,score,softmax_score
2,"Weve also seen the challenges of the last few years dramatically impact students in school and beyond, exacerbating an existing crisis in student mental health and financial stability. Thats why we launched Chegg Life to support more of students needs. Chegg Life will initially focus on personal finance, soft skills, mental health and wellness, and we believe this support will help Chegg serve more global learners even better.",0.14511185884475708,0.5004293322563171
16,"Formal responsibilities for the implementation and management of programs that involve ESG issues are held by functional team leaders throughout the organization. At the most senior levels, including our Chief People Officer and Chief Information Security Officer, these leaders regularly report to Cheggs Board of Directors on issues related to ESG.",0.20339706540107727,0.5237876772880554
17,"Cheggs Governance and Sustainability committee maintains oversight over the majority of Cheggs material ESG topics, while some topics, such as Pay Equity, are overseen by our Compensation Committee , and others, such as Data Security and Privacy, are overseen by our Audit Committee .",0.22901850938796997,0.5168967247009277
19,Product Impacts and Learning Outcomes Access to Education Holistic Approach to Learner Success Privacy and Cybersecurity Ethics Compliance Academic Integrity Responsible Marketing,0.3703157603740692,0.5054634809494019
20,"In late 2021, we completed our first formal materiality assessment to help prioritize our ESG programming and better understand which ESG topics are most material to Chegg and our key stakeholders.",0.10739108920097351,0.5155230760574341
23,"We are excited to incorporate the conclusions from the materiality assessment. Going forward, our ESG strategy plans to put an increased emphasis on the topics in the upper right hand quadrant, which have been identified by our stakeholders as important to both business and society.",0.1002533808350563,0.5013561248779297
25,Oversight Framework Materiality 2021 Highlights SDGs Awards Disclosures Overview Pillars,0.222579687833786,0.5101723074913025
26,"(1) Excludes part time on demand educators with no fixed schedules or hours. (2) globally, including full time and part time, (3) Results reflect a Chegg online survey conducted among a random sample of U.S. Chegg Study and Chegg Study Pack customers that used Chegg Study or Chegg Study Pack in Q4 2021 and Q1 2022. See Help Learners section for more details of this survey. (4) See Operate Sustainably section for more details about our GHG and energy consumption metrics, (5) Chegg.org at times works through our Impact Fund, which is run though the Tides Foundation.",0.10604182630777359,0.5005071759223938
32,Expanded responsibility of renamed Governance and Sustainability Committee to include ESG Oversight,0.16879381239414215,0.5199049711227417
53,"Supporting ERGs with executive and financial support, which allows them to bring in interesting speakers and experts for on topic seminars. We also introduced an interactive dashboard for ERGs promoting deeper employee engagement and providing management and reporting tools for ERG leaders.",0.16312138736248016,0.5228829383850098
